Date,Day,RouteId,Line,From,To,Slot,BusMin,WalkingFallbackMin,CarMin,ScrapedDetails,HasScreenshot,ScreenshotPath
2026-09-16,Wed,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-16\1_00_PM\MC-24\metro.jpg"
2026-09-16,Wed,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",12:00 AM,36,38,10," | 38 min | 12:29 AM (Tuesday)—1:07 AM | 33863   | 12:29 AM from Dum Dum Cantonment 13 min late |  35 min | Details",true,"D:\Traffic\Metro\output\screenshots\2026-09-16\12_00_AM\MC-25\metro.jpg"
2026-09-16,Wed,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,14," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-16\1_00_PM\MC-25\metro.jpg"
2026-09-17,Thu,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,17," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-17\1_00_PM\MC-03\metro.jpg"
2026-09-17,Thu,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,11," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-17\1_00_PM\MC-20\metro.jpg"
2026-09-17,Thu,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-17\1_00_PM\MC-21\metro.jpg"
2026-09-17,Thu,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,8," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-17\1_00_PM\MC-23\metro.jpg"
2026-09-17,Thu,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-17\1_00_PM\MC-24\metro.jpg"
2026-09-17,Thu,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,14," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-17\1_00_PM\MC-25\metro.jpg"
2026-09-18,Fri,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,14," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-18\1_00_PM\MC-03\metro.jpg"
2026-09-18,Fri,MC-20,Purple,"Behala Chowrasta","Majerhat",12:00 AM,12,51,9," | 51 min | 3.7 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-18\12_00_AM\MC-20\metro.jpg"
2026-09-18,Fri,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,13," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-18\1_00_PM\MC-20\metro.jpg"
2026-09-18,Fri,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,11," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-18\1_00_PM\MC-21\metro.jpg"
2026-09-18,Fri,MC-23,Purple,"Behala Chowrasta","Taratala",1:00 PM,8,33,9," | 33 min | 2.4 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-18\1_00_PM\MC-23\metro.jpg"
2026-09-18,Fri,MC-24,Purple,"Taratala","Majerhat",1:00 PM,4,18,3," | 18 min | 1.3 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-18\1_00_PM\MC-24\metro.jpg"
2026-09-18,Fri,MC-25,Yellow,"Dum Dum Cantonment","Biman Bandar",1:00 PM,36,49,13," | 49 min | 3.5 km | via PK Guha Rd",true,"D:\Traffic\Metro\output\screenshots\2026-09-18\1_00_PM\MC-25\metro.jpg"
2026-09-19,Sat,MC-03,Blue,"Dum Dum","Shyambazar",1:00 PM,35,53,16," | 53 min | 3.8 km | via Belgachia Rd/Khudiram Bose Sarani",true,"D:\Traffic\Metro\output\screenshots\2026-09-19\1_00_PM\MC-03\metro.jpg"
2026-09-19,Sat,MC-20,Purple,"Behala Chowrasta","Majerhat",1:00 PM,12,51,12," | 51 min | 3.7 km | via NH 12",true,"D:\Traffic\Metro\output\screenshots\2026-09-19\1_00_PM\MC-20\metro.jpg"
2026-09-19,Sat,MC-21,Purple,"Joka","Behala Chowrasta",1:00 PM,14,57,12," | 57 min | 4.1 km | via NH 12 | Details | Preview",true,"D:\Traffic\Metro\output\screenshots\2026-09-19\1_00_PM\MC-21\metro.jpg"
